[COLOR yellow]uk.txt - Date: 20180726-1411 [/COLOR]@Filename@OK Filename
*** AutoIPTV ***@https://autoiptv.net@[COLOR red]TITLE[/COLOR]
*** Playlists ***@https://autoiptv.net/playlists@[COLOR red]TITLE[/COLOR]
4 SEVEN | HD@http://izgemma.ddns.net:8000/live/chief/chief/37163.ts@[COLOR green]OK 200[/COLOR]
BOLIVIATV VIVO | SD@http://titiroq.xyz:25461/live/123412341234/123412341234/12887.ts@[COLOR red]OK  Unauthorized[/COLOR]
BOX OFFICE 1 | HD@http://iptvtool.es:9977/live/jf/iptv/27127.ts@[COLOR green]OK 200[/COLOR]
BOX OFFICE 2 | HD@http://iptvtool.es:9977/live/jf/iptv/27126.ts@[COLOR green]OK 200[/COLOR]
BOX OFFICE 3 | HD@http://iptvtool.es:9977/live/jf/iptv/27125.ts@[COLOR green]OK 200[/COLOR]
BOX OFFICE 4 | HD@http://iptvtool.es:9977/live/jf/iptv/27124.ts@[COLOR green]OK 200[/COLOR]
CAPITAL TV | SD@http://izgemma.ddns.net:8000/live/chief/chief/11742.ts@[COLOR green]OK 200[/COLOR]
CAPITAL TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11742.ts@[COLOR green]OK 200[/COLOR]
CBS ACTION | SD@http://izgemma.ddns.net:8000/live/chief/chief/9225.ts@[COLOR green]OK 200[/COLOR]
CBS ACTION | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/9225.ts@[COLOR green]OK 200[/COLOR]
CBS ACTION | SD@http://izgemma.ddns.net:8000/live/chief/chief/29513.ts@[COLOR green]OK 200[/COLOR]
CBS ACTION | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/29513.ts@[COLOR green]OK 200[/COLOR]
CBS DRAMA | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/29511.ts@[COLOR green]OK 200[/COLOR]
CBS DRAMA | SD@http://izgemma.ddns.net:8000/live/chief/chief/9226.ts@[COLOR green]OK 200[/COLOR]
CBS DRAMA | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/9226.ts@[COLOR green]OK 200[/COLOR]
CBS DRAMA | SD@http://izgemma.ddns.net:8000/live/chief/chief/29511.ts@[COLOR green]OK 200[/COLOR]
CBS DRAMA | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/29511.ts@[COLOR green]OK 200[/COLOR]
CBS REALITY | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7725.ts@[COLOR red]timed out[/COLOR]
CBS REALITY | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/29512.ts@[COLOR green]OK 200[/COLOR]
CBS REALITY | SD@http://izgemma.ddns.net:8000/live/chief/chief/9004.ts@[COLOR green]OK 200[/COLOR]
CBS REALITY | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/9004.ts@[COLOR green]OK 200[/COLOR]
CBS REALITY | SD@http://izgemma.ddns.net:8000/live/chief/chief/29512.ts@[COLOR green]OK 200[/COLOR]
CBSACTION | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7633.ts@[COLOR green]OK 200[/COLOR]
CBSACTION | SD@http://vismanx1.com:8080/live/kemal01/01kemal/11218.ts@[COLOR red]timed out[/COLOR]
CBSDRAMA | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7743.ts@[COLOR green]OK 200[/COLOR]
CHALLENGE | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7742.ts@[COLOR green]OK 200[/COLOR]
CHALLENGE | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/21112.ts@[COLOR green]OK 200[/COLOR]
CHALLENGE | SD@http://izgemma.ddns.net:8000/live/chief/chief/21112.ts@[COLOR green]OK 200[/COLOR]
CHALLENGE | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/21112.ts@[COLOR green]OK 200[/COLOR]
CHALLENGE 1 | SD@http://iptvtool.es:9977/live/jf/iptv/27057.ts@[COLOR red]timed out[/COLOR]
CHANNEL 4 | HD@http://izgemma.ddns.net:8000/live/ryan/ryan/33270.ts@[COLOR green]OK 200[/COLOR]
CHANNEL 4 | HD@http://izgemma.ddns.net:8000/live/chief/chief/33270.ts@[COLOR green]OK 200[/COLOR]
CHANNEL 4 | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/33270.ts@[COLOR green]OK 200[/COLOR]
CHANNEL 4 | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/37413.ts@[COLOR green]OK 200[/COLOR]
CHANNEL 4 | SD@http://izgemma.ddns.net:8000/live/chief/chief/37413.ts@[COLOR green]OK 200[/COLOR]
CHANNEL 4 | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/37413.ts@[COLOR green]OK 200[/COLOR]
CHANNEL 44 | SD@http://izgemma.ddns.net:8000/live/chief/chief/12595.ts@[COLOR green]OK 200[/COLOR]
CHANNEL 5 | HD@http://izgemma.ddns.net:8000/live/chief/chief/13687.ts@[COLOR red]OK  Unauthorized[/COLOR]
CHANNEL 5 | HD@http://izgemma.ddns.net:8000/live/chief/chief/31973.ts@[COLOR green]OK 200[/COLOR]
CHANNEL 5 | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/13687.ts@[COLOR red]OK  Unauthorized[/COLOR]
CHANNEL 5 | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/31973.ts@[COLOR green]OK 200[/COLOR]
CHANNEL 5 | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/13475.ts@[COLOR green]OK 200[/COLOR]
CHANNEL 5 | SD@http://izgemma.ddns.net:8000/live/chief/chief/13475.ts@[COLOR green]OK 200[/COLOR]
CHANNEL 5 | SD@http://izgemma.ddns.net:8000/live/chief/chief/29192.ts@[COLOR green]OK 200[/COLOR]
CHANNEL 5 | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/13475.ts@[COLOR green]OK 200[/COLOR]
CHANNEL 5 | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/29192.ts@[COLOR green]OK 200[/COLOR]
CHANNEL AKA | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11282.ts@[COLOR green]OK 200[/COLOR]
CHANNEL4 | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7632.ts@[COLOR green]OK 200[/COLOR]
CHANNEL5 | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7675.ts@[COLOR green]OK 200[/COLOR]
CHANNELAKA | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7593.ts@[COLOR green]OK 200[/COLOR]
CHANNELS 24 | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11356.ts@[COLOR green]OK 200[/COLOR]
CHARTSHOWTV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/37436.ts@[COLOR red] Forbidden[/COLOR]
CHSTV | SD@http://izgemma.ddns.net:8000/live/chief/chief/11858.ts@[COLOR green]OK 200[/COLOR]
CHSTV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11858.ts@[COLOR green]OK 200[/COLOR]
CITV | SD@http://izgemma.ddns.net:8000/live/chief/chief/37158.ts@[COLOR green]OK 200[/COLOR]
CITV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/37158.ts@[COLOR green]OK 200[/COLOR]
CLUB ARMENIA | SD@http://ott-cdn.ucom.am/s37/index.m3u8@[COLOR green]OK Same url[/COLOR]
CLUBLAND TV | SD@http://izgemma.ddns.net:8000/live/chief/chief/11736.ts@[COLOR green]OK 200[/COLOR]
CLUBLAND TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11736.ts@[COLOR green]OK 200[/COLOR]
COLORS | SD@http://izgemma.ddns.net:8000/live/chief/chief/14139.ts@[COLOR green]OK 200[/COLOR]
COLORS | SD@http://izgemma.ddns.net:8000/live/chief/chief/14143.ts@[COLOR green]OK 200[/COLOR]
COLORS | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/14139.ts@[COLOR green]OK 200[/COLOR]
COLORS | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/14143.ts@[COLOR green]OK 200[/COLOR]
COLOURS | SD@http://titiroq.xyz:25461/live/123412341234/123412341234/11880.ts@[COLOR red]OK  Unauthorized[/COLOR]
COMEDY CENTRAL | HD@http://izgemma.ddns.net:8000/live/chief/chief/8148.ts@[COLOR green]OK 200[/COLOR]
COMEDY CENTRAL | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/8148.ts@[COLOR green]OK 200[/COLOR]
COMEDY CENTRAL | HD@http://izgemma.ddns.net:8000/live/chief/chief/13694.ts@[COLOR red]OK  Unauthorized[/COLOR]
COMEDY CENTRAL | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/13694.ts@[COLOR red]OK  Unauthorized[/COLOR]
COMEDY CENTRAL | SD@http://iptvtool.es:9977/live/jf/iptv/27119.ts@[COLOR green]OK 200[/COLOR]
COMEDY CENTRAL | SD@http://izgemma.ddns.net:8000/live/chief/chief/29483.ts@[COLOR green]OK 200[/COLOR]
COMEDY CENTRAL | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/29483.ts@[COLOR green]OK 200[/COLOR]
COMEDY-CENTRAL | SD@http://tv2iptv.com:8000/live/mic1/45464uy/709.ts@[COLOR green]OK 200[/COLOR]
COMEDY-EXTRA | SD@http://tv2iptv.com:8000/live/mic1/45464uy/708.ts@[COLOR green]OK 200[/COLOR]
COMEDYCENTRAL | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7727.ts@[COLOR green]OK 200[/COLOR]
COMEDYXTRA | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7728.ts@[COLOR green]OK 200[/COLOR]
COMMUNITY | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7590.ts@[COLOR red]timed out[/COLOR]
COUNTRY NETWORK | SD@http://izgemma.ddns.net:8000/live/chief/chief/37292.ts@[COLOR green]OK 200[/COLOR]
COUNTRY NETWORK | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/37292.ts@[COLOR green]OK 200[/COLOR]
CRIME & INVESTIGIATION | SD@http://iptvtool.es:9977/live/jf/iptv/27106.ts@[COLOR red]timed out[/COLOR]
CRIME INVESTIGATION | HD@http://izgemma.ddns.net:8000/live/chief/chief/13711.ts@[COLOR red]OK  Unauthorized[/COLOR]
CRIME INVESTIGATION | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/13711.ts@[COLOR red]OK  Unauthorized[/COLOR]
CRIME INVESTIGATION | SD@http://izgemma.ddns.net:8000/live/chief/chief/10743.ts@[COLOR green]OK 200[/COLOR]
CRIME INVESTIGATION | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/10743.ts@[COLOR green]OK 200[/COLOR]
CRIME&INVESTIGATION-NETWORK | SD@http://tv2iptv.com:8000/live/mic1/45464uy/682.ts@[COLOR green]OK 200[/COLOR]
DAVE | HD@http://izgemma.ddns.net:8000/live/chief/chief/17261.ts@[COLOR red]OK  Unauthorized[/COLOR]
DAVE | HD@http://izgemma.ddns.net:8000/live/chief/chief/31974.ts@[COLOR green]OK 200[/COLOR]
DAVE | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/17261.ts@[COLOR red]OK  Unauthorized[/COLOR]
DAVE | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/31974.ts@[COLOR green]OK 200[/COLOR]
DAVE | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7729.ts@[COLOR green]OK 200[/COLOR]
DAVE | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/37383.ts@[COLOR green]OK 200[/COLOR]
DAVE | SD@http://izgemma.ddns.net:8000/live/chief/chief/37383.ts@[COLOR green]OK 200[/COLOR]
DAVE JA VU | SD@http://izgemma.ddns.net:8000/live/chief/chief/27692.ts@[COLOR green]OK 200[/COLOR]
DAVE JA VU | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/27692.ts@[COLOR green]OK 200[/COLOR]
DAVEJAVU | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7589.ts@[COLOR green]OK 200[/COLOR]
DAYSTAR TV | SD@http://izgemma.ddns.net:8000/live/chief/chief/11739.ts@[COLOR green]OK 200[/COLOR]
DAYSTAR TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11739.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY | HD@http://izgemma.ddns.net:8000/live/ryan/ryan/9879.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY | HD@http://izgemma.ddns.net:8000/live/chief/chief/9879.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY | HD@http://izgemma.ddns.net:8000/live/chief/chief/17265.ts@[COLOR red]OK  Unauthorized[/COLOR]
DISCOVERY | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/17265.ts@[COLOR red]OK  Unauthorized[/COLOR]
DISCOVERY | SD@http://tv2iptv.com:8000/live/mic1/45464uy/719.ts@[COLOR red]timed out[/COLOR]
DISCOVERY | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/17217.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY | SD@http://izgemma.ddns.net:8000/live/chief/chief/17217.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/17217.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY CHANNEL | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7621.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY ESPANOL | SD@http://212.8.250.12:25461/live/carmelo/1234/23315.ts@[COLOR red]timed out[/COLOR]
DISCOVERY HISTORY | SD@http://iptvtool.es:9977/live/jf/iptv/27065.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY HISTORY | SD@http://izgemma.ddns.net:8000/live/chief/chief/10126.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY HISTORY | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/10126.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY HISTORY 1 | SD@http://iptvtool.es:9977/live/jf/iptv/27064.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY SCIENCE | SD@http://iptvtool.es:9977/live/jf/iptv/27062.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY SCIENCE | SD@http://izgemma.ddns.net:8000/live/chief/chief/9884.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY SCIENCE | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/9884.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY SCIENCE 1 | SD@http://iptvtool.es:9977/live/jf/iptv/27063.ts@[COLOR red]timed out[/COLOR]
DISCOVERY SHED | SD@http://iptvtool.es:9977/live/jf/iptv/27061.ts@[COLOR red]timed out[/COLOR]
DISCOVERY SHED | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/9238.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY SHED | SD@http://izgemma.ddns.net:8000/live/chief/chief/9238.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY TURBO | HD@http://vismanx1.com:8080/live/kemal01/01kemal/11227.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY TURBO | SD@http://iptvtool.es:9977/live/jf/iptv/27060.ts@[COLOR red]timed out[/COLOR]
DISCOVERY TURBO | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/9883.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY TURBO | SD@http://izgemma.ddns.net:8000/live/chief/chief/37428.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY TURBO | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/37428.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY-SHED | SD@http://tv2iptv.com:8000/live/mic1/45464uy/718.ts@[COLOR green]OK 200[/COLOR]
DISCOVERY-TURBO | SD@http://tv2iptv.com:8000/live/mic1/45464uy/720.ts@[COLOR red]timed out[/COLOR]
DISCOVERYCHANNELHD | SD@http://vismanx1.com:8080/live/kemal01/01kemal/11224.ts@[COLOR red]timed out[/COLOR]
DISCOVERYHISTORY | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7639.ts@[COLOR green]OK 200[/COLOR]
DISCOVERYTURBO | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7636.ts@[COLOR red]timed out[/COLOR]
DMAX | SD@http://iptvtool.es:9977/live/jf/iptv/27104.ts@[COLOR green]OK 200[/COLOR]
DMAX | SD@http://tv2iptv.com:8000/live/mic1/45464uy/717.ts@[COLOR green]OK 200[/COLOR]
DMAX | SD@http://izgemma.ddns.net:8000/live/chief/chief/33890.ts@[COLOR green]OK 200[/COLOR]
DMAX | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/33890.ts@[COLOR green]OK 200[/COLOR]
DMAX | SD@http://vismanx1.com:8080/live/kemal01/01kemal/11245.ts@[COLOR green]OK 200[/COLOR]
DRAMA | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7741.ts@[COLOR green]OK 200[/COLOR]
DRAMA | SD@http://izgemma.ddns.net:8000/live/chief/chief/9235.ts@[COLOR green]OK 200[/COLOR]
DRAMA | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/9235.ts@[COLOR green]OK 200[/COLOR]
E!ENTERTAINMENT | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7645.ts@[COLOR red]timed out[/COLOR]
